,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence,Explicit,Records,Artist_clean,Album,Continent,Country,Rank
0,0.11787999999999998,0.7372,155645.8,0.6806,0.0,0.1598,-5.112,72.0,0.279,118.2184,0.43420000000000003,1.0,1.0,6ix9ine,GOOBA,Global,Global,11
32,0.0229,0.65,225668.0,0.8270000000000001,0.0,0.121,-4.013999999999999,76.0,0.0599,144.995,0.223,1.0,1.0,Agust D,D-2,Global,Global,48
107,0.24600555555555545,0.6379259259259262,203550.1234567901,0.5857037037037038,0.0006873825925925926,0.17702098765432098,-6.001111111111113,70.93827160493827,0.10163827160493827,118.82102469135805,0.4649333333333333,0.38271604938271603,1.0,Ariana Grande,Stuck with U,Global,Global,9
153,0.152625,0.67425,181060.75,0.62,2.1925e-06,0.23850000000000002,-5.9625,74.0,0.165825,108.327,0.48475,1.0,1.0,Arizona Zervas,ROXANNE,Global,Global,34
200,0.19565,0.832,201813.5,0.61,1.52e-05,0.14250000000000002,-4.923,77.5,0.05095,122.9555,0.6985,0.5,1.0,BENEE,STELLA & STEVE,Global,Global,16
234,0.257656,0.7446200000000002,204770.84,0.635,0.0002689052,0.14340199999999997,-5.971400000000002,77.78,0.11552599999999998,123.79486000000001,0.4344559999999999,0.74,1.0,Bad Bunny,YHLQMDLG,Global,Global,23
235,0.257656,0.7446200000000002,204770.84,0.635,0.0002689052,0.14340199999999997,-5.971400000000002,77.78,0.11552599999999998,123.79486000000001,0.4344559999999999,0.74,1.0,Bad Bunny,YHLQMDLG,Global,Global,25
423,0.6389189189189192,0.6085675675675676,199958.48648648648,0.3346243243243243,0.08774655432432432,0.1671675675675676,-12.081756756756757,76.37837837837837,0.1353297297297298,118.3545135135135,0.2620216216216216,0.02702702702702703,1.0,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Global,Global,46
447,0.07881838709677419,0.7778387096774192,263423.87096774194,0.7488709677419354,0.0009217190322580646,0.27612580645161294,-5.662516129032259,46.16129032258065,0.12744193548387098,115.10254838709675,0.6203870967741937,0.0967741935483871,1.0,Black Eyed Peas,MAMACITA,Global,Global,49
473,0.327,0.843,193067.0,0.5885,5.95e-07,0.050699999999999995,-4.7379999999999995,89.5,0.0461,108.9745,0.9575,0.0,1.0,Camilo,Por Primera Vez,Global,Global,50
529,0.08924647058823532,0.8123529411764707,158529.41176470587,0.6699999999999999,3.435294117647059e-07,0.15298235294117646,-5.829058823529412,73.70588235294117,0.28527058823529416,125.13264705882354,0.6537647058823529,1.0,1.0,DaBaby,BLAME IT ON BABY,Global,Global,3
604,0.2141466666666667,0.749,204557.8,0.6315333333333333,0.0028370093333333337,0.16202666666666668,-5.2645333333333335,73.66666666666667,0.10412666666666667,129.52700000000002,0.5193333333333333,0.9333333333333333,1.0,Doja Cat,Hot Pink,Global,Global,20
605,0.2141466666666667,0.749,204557.8,0.6315333333333333,0.0028370093333333337,0.16202666666666668,-5.2645333333333335,73.66666666666667,0.10412666666666667,129.52700000000002,0.5193333333333333,0.9333333333333333,1.0,Doja Cat,Say So (feat. Nicki Minaj),Global,Global,27
606,0.2141466666666667,0.749,204557.8,0.6315333333333333,0.0028370093333333337,0.16202666666666668,-5.2645333333333335,73.66666666666667,0.10412666666666667,129.52700000000002,0.5193333333333333,0.9333333333333333,1.0,Doja Cat,Boss Bitch,Global,Global,33
672,0.35846833333333333,0.6739999999999999,174959.83333333334,0.5596666666666666,0.0561615,0.23683333333333337,-7.345166666666667,74.83333333333333,0.05958333333333334,125.14366666666665,0.37005,0.5,1.0,Don Toliver,Heaven Or Hell,Global,Global,45
684,0.19711066013071896,0.659725490196079,248781.97385620914,0.5632091503267974,0.00580649,0.18723006535947706,-7.849549019607849,62.02614379084967,0.22650065359477117,120.28098692810464,0.3763320261437909,0.9411764705882353,1.0,Drake,Dark Lane Demo Tapes,Global,Global,5
736,0.051697857142857136,0.7150714285714288,201459.14285714287,0.7522857142857141,4.925571428571429e-05,0.15010714285714283,-4.259285714285714,79.92857142857143,0.08549285714285715,111.51528571428571,0.6447857142857142,0.14285714285714285,1.0,Dua Lipa,Future Nostalgia,Global,Global,8
737,0.051697857142857136,0.7150714285714288,201459.14285714287,0.7522857142857141,4.925571428571429e-05,0.15010714285714283,-4.259285714285714,79.92857142857143,0.08549285714285715,111.51528571428571,0.6447857142857142,0.14285714285714285,1.0,Dua Lipa,Future Nostalgia,Global,Global,15
872,0.15293236842105262,0.7644210526315789,218577.36842105264,0.5606315789473685,0.033473758684210535,0.17368947368421053,-7.111105263157896,66.10526315789474,0.24288421052631573,133.73907894736845,0.3980921052631579,1.0,1.0,Future,High Off Life,Global,Global,38
904,0.2688155769230769,0.5414615384615385,238180.23076923078,0.5867692307692306,0.01680888423076923,0.1562076923076923,-6.386923076923079,77.38461538461539,0.03588846153846154,114.68699999999998,0.40689615384615385,0.0,1.0,Harry Styles,Fine Line,Global,Global,29
905,0.2688155769230769,0.5414615384615385,238180.23076923078,0.5867692307692306,0.01680888423076923,0.1562076923076923,-6.386923076923079,77.38461538461539,0.03588846153846154,114.68699999999998,0.40689615384615385,0.0,1.0,Harry Styles,Fine Line,Global,Global,41
952,0.13834703703703705,0.7465462962962962,206535.5185185185,0.762851851851852,0.0009254638888888883,0.17536944444444452,-4.961740740740738,11.527777777777779,0.1418250000000001,128.9774444444444,0.7185555555555557,0.009259259259259259,1.0,J Balvin,Colores,Global,Global,42
1043,0.07284166666666668,0.8529999999999999,170609.0,0.6404166666666665,0.0002234858333333333,0.18074166666666666,-7.067916666666666,74.66666666666667,0.15765833333333332,122.40749999999998,0.703,1.0,1.0,Jack Harlow,Sweet Action,Global,Global,32
1106,0.28257153424657533,0.6489863013698629,214113.04109589042,0.6208849315068493,9.214424657534246e-05,0.17084246575342465,-6.765109589041096,56.465753424657535,0.07349726027397262,120.5982465753425,0.5445013698630138,0.0136986301369863,1.0,Justin Bieber,Changes,Global,Global,17
1141,0.2706536986301371,0.7576027397260277,195782.39726027398,0.7679726027397258,0.00016664739726027398,0.12132054794520551,-4.497849315068498,3.8219178082191783,0.11307808219178084,143.28804109589046,0.6312054794520551,0.0273972602739726,1.0,KAROL G,Tusa,Global,Global,31
1207,0.07937788510638298,0.6968085106382977,235610.53191489363,0.7538085106382978,0.0017481446808510633,0.21165531914893615,-4.9709574468085105,59.340425531914896,0.05619361702127659,119.32376595744684,0.5772127659574466,0.14893617021276595,1.0,Lady Gaga,Rain On Me (with Ariana Grande),Global,Global,1
1271,0.6935294117647057,0.5616470588235295,198763.0588235294,0.44682352941176484,0.0,0.10619999999999997,-5.90064705882353,43.35294117647059,0.04184705882352942,109.74682352941176,0.3244117647058824,0.0,1.0,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Global,Global,24
1272,0.6935294117647057,0.5616470588235295,198763.0588235294,0.44682352941176484,0.0,0.10619999999999997,-5.90064705882353,43.35294117647059,0.04184705882352942,109.74682352941176,0.3244117647058824,0.0,1.0,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Global,Global,43
1313,0.2867166666666667,0.7561666666666667,154528.33333333334,0.5601666666666666,0.0,0.13416666666666666,-7.547999999999999,76.0,0.05895,102.16766666666666,0.4326666666666667,1.0,1.0,Lil Mosey,Certified Hitmaker,Global,Global,12
1373,0.13369280645161294,0.6638064516129033,222788.16129032258,0.7160483870967747,9.559999999999998e-06,0.20195806451612894,-5.454322580645162,54.11290322580645,0.056064516129032245,118.97387096774192,0.5588709677419355,0.16129032258064516,1.0,Maroon 5,Memories,Global,Global,44
1386,0.1261315384615385,0.6691538461538461,190931.92307692306,0.7822307692307692,0.0011926892307692308,0.22133846153846154,-3.4799999999999995,69.46153846153847,0.0717923076923077,115.41015384615386,0.5173846153846153,0.15384615384615385,1.0,Marshmello,Be Kind (with Halsey),Global,Global,37
1412,0.016513100000000003,0.8532499999999998,181986.55,0.7045,1.053e-06,0.15813,-6.0082,72.45,0.28454999999999997,134.55525,0.5895,1.0,1.0,Megan Thee Stallion,Savage Remix (feat. Beyoncé),Global,Global,22
1429,0.279404347826087,0.625391304347826,214547.4347826087,0.6677826086956522,0.0009062126086956521,0.18493478260869564,-5.889434782608696,66.82608695652173,0.06534782608695651,123.67873913043478,0.4532913043478261,0.43478260869565216,1.0,Melanie Martinez,Cry Baby (Deluxe Edition),Global,Global,36
1517,0.306625,0.6240769230769233,209317.75,0.6218653846153847,0.00015888999999999996,0.13566153846153847,-5.6096730769230785,72.1923076923077,0.07540192307692306,123.73005769230765,0.35873076923076924,0.8461538461538461,1.0,Post Malone,Hollywood's Bleeding,Global,Global,26
1542,0.4565,0.7655000000000001,162916.5,0.45499999999999996,1.705e-06,0.521,-9.0015,78.0,0.249,112.24000000000001,0.3555,0.5,1.0,Powfu,death bed (coffee for your head) (feat. beabadoobee),Global,Global,6
1694,0.15514545454545453,0.8156363636363637,190188.0,0.5815454545454546,3.836363636363636e-05,0.2441454545454545,-7.404909090909092,72.45454545454545,0.20296363636363643,121.2951818181818,0.3911818181818182,1.0,1.0,Roddy Ricch,Please Excuse Me For Being Antisocial,Global,Global,13
1727,0.11402500000000002,0.78175,177849.0,0.69475,0.0030272,0.2425,-5.07225,71.0,0.050375,115.729,0.5965,1.0,1.0,SAINt JHN,Roses (Imanbek Remix),Global,Global,4
1834,0.2249846153846154,0.6298076923076923,199521.5,0.6452692307692308,3.83e-06,0.1059153846153846,-5.726576923076923,67.73076923076923,0.08792307692307691,123.05384615384618,0.5979615384615383,0.0,1.0,Shawn Mendes,Shawn Mendes (Deluxe),Global,Global,47
1845,0.748,0.729,147800.0,0.435,0.0,0.0992,-9.915,79.0,0.06155,130.056,0.622,0.0,1.0,StaySolidRocky,Party Girl,Global,Global,28
1863,0.0686,0.674,176547.0,0.774,0.0018800000000000002,0.39299999999999996,-7.567,86.0,0.0892,112.05,0.33,0.0,1.0,Surf Mesa,ily (i love you baby) (feat. Emilee),Global,Global,14
