,Country,Continent,Rank,Title,Artists,Artist_clean,Album,Explicit,Duration
0,Global,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
1,Global,Global,2,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
2,Global,Global,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",DaBaby,BLAME IT ON BABY,1,3:01
3,Global,Global,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",SAINt JHN,Roses (Imanbek Remix),1,2:56
4,Global,Global,5,Toosie Slide,Drake,Drake,Dark Lane Demo Tapes,1,4:07
5,Global,Global,6,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
6,Global,Global,7,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,THE SCOTTS,1,2:45
7,Global,Global,8,Don't Start Now,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:03
8,Global,Global,9,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Ariana Grande,Stuck with U,0,3:48
9,Global,Global,10,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
10,Global,Global,11,GOOBA,6ix9ine,6ix9ine,GOOBA,1,2:12
11,Global,Global,12,Blueberry Faygo,Lil Mosey,Lil Mosey,Certified Hitmaker,1,2:42
12,Global,Global,13,The Box,Roddy Ricch,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
13,Global,Global,14,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Surf Mesa,ily (i love you baby) (feat. Emilee),0,2:56
14,Global,Global,15,Break My Heart,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:41
15,Global,Global,16,Supalonely,"BENEE, Gus Dapperton",BENEE,STELLA & STEVE,1,3:43
16,Global,Global,17,Intentions (feat. Quavo),"Justin Bieber, Quavo",Justin Bieber,Changes,0,3:32
17,Global,Global,18,In Your Eyes,The Weeknd,The Weeknd,After Hours,1,3:57
18,Global,Global,19,Sunday Best,Surfaces,Surfaces,Where the Light Is,0,2:38
19,Global,Global,20,Say So,Doja Cat,Doja Cat,Hot Pink,1,3:57
20,Global,Global,21,Falling,Trevor Daniel,Trevor Daniel,Nicotine,0,2:39
21,Global,Global,22,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Megan Thee Stallion,Savage Remix (feat. Beyoncé),1,4:02
22,Global,Global,23,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",Bad Bunny,YHLQMDLG,1,4:55
23,Global,Global,24,Someone You Loved,Lewis Capaldi,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
24,Global,Global,25,Yo Perreo Sola,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:52
25,Global,Global,26,Circles,Post Malone,Post Malone,Hollywood's Bleeding,0,3:35
26,Global,Global,27,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Doja Cat,Say So (feat. Nicki Minaj),1,3:26
27,Global,Global,28,Party Girl,StaySolidRocky,StaySolidRocky,Party Girl,0,2:27
28,Global,Global,29,Watermelon Sugar,Harry Styles,Harry Styles,Fine Line,0,2:54
29,Global,Global,30,goosebumps,Travis Scott,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
30,Global,Global,31,Tusa,"KAROL G, Nicki Minaj",KAROL G,Tusa,0,3:20
31,Global,Global,32,WHATS POPPIN,Jack Harlow,Jack Harlow,Sweet Action,1,2:19
32,Global,Global,33,Boss Bitch,Doja Cat,Doja Cat,Boss Bitch,0,2:14
33,Global,Global,34,ROXANNE,Arizona Zervas,Arizona Zervas,ROXANNE,1,2:43
34,Global,Global,35,SICKO MODE,Travis Scott,Travis Scott,ASTROWORLD,1,5:12
35,Global,Global,36,Play Date,Melanie Martinez,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
36,Global,Global,37,Be Kind (with Halsey),"Marshmello, Halsey",Marshmello,Be Kind (with Halsey),0,2:52
37,Global,Global,38,Life Is Good (feat. Drake),"Future, Drake",Future,High Off Life,1,3:57
38,Global,Global,39,HIGHEST IN THE ROOM,Travis Scott,Travis Scott,HIGHEST IN THE ROOM,1,2:55
39,Global,Global,40,Breaking Me,"Topic, A7S",Topic,Breaking Me,0,2:46
40,Global,Global,41,Adore You,Harry Styles,Harry Styles,Fine Line,0,3:27
41,Global,Global,42,Rojo,J Balvin,J Balvin,Colores,0,2:30
42,Global,Global,43,Before You Go,Lewis Capaldi,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
43,Global,Global,44,Memories,Maroon 5,Maroon 5,Memories,0,3:09
44,Global,Global,45,After Party,Don Toliver,Don Toliver,Heaven Or Hell,1,2:47
45,Global,Global,46,bad guy,Billie Eilish,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
46,Global,Global,47,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes,Shawn Mendes (Deluxe),0,3:10
47,Global,Global,48,Daechwita,Agust D,Agust D,D-2,1,3:45
48,Global,Global,49,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",Black Eyed Peas,MAMACITA,1,4:09
49,Global,Global,50,Favorito,Camilo,Camilo,Por Primera Vez,0,3:29
50,Argentina,South America,1,Colocao,Nicki Nicole,Nicki Nicole,Colocao,1,2:59
51,Argentina,South America,2,Favorito,Camilo,Camilo,Por Primera Vez,0,3:29
52,Argentina,South America,3,PORFA,"Feid, Justin Quiles",Feid,FERXXO (VOL 1: M.O.R),0,3:52
53,Argentina,South America,4,Yo Perreo Sola,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:52
54,Argentina,South America,5,"C.R.O: Bzrp Music Session, Vol. 29","Bizarrap, C.R.O",Bizarrap,"C.R.O: Bzrp Music Session, Vol. 29",0,2:26
55,Argentina,South America,6,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Rauw Alejandro,Elegí (feat. Dímelo Flow),0,3:17
56,Argentina,South America,7,Rojo,J Balvin,J Balvin,Colores,0,2:30
57,Argentina,South America,8,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",Bad Bunny,YHLQMDLG,1,4:55
58,Argentina,South America,9,Tattoo,Rauw Alejandro,Rauw Alejandro,Tattoo,0,3:22
59,Argentina,South America,10,Inolvidable,"Ovy On The Drums, Beéle",Ovy On The Drums,Inolvidable,0,3:45
60,Argentina,South America,11,Tusa,"KAROL G, Nicki Minaj",KAROL G,Tusa,0,3:20
61,Argentina,South America,12,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Dalex,Hola (Remix),0,4:09
62,Argentina,South America,13,Por Primera Vez,"Camilo, Evaluna Montaner",Camilo,Por Primera Vez,0,3:02
63,Argentina,South America,14,Diosa,Myke Towers,Myke Towers,Easy Money Baby,1,3:34
